"rets" "tips" "level" "tree_child" "tree_based" "fu_stable" "normal" "gen_no" "degen_no" "neu_no" "recon" "row_row"
"1" 80 197 80 TRUE TRUE TRUE TRUE 80 0 0 FALSE 61
"2" 13 70 13 TRUE TRUE TRUE TRUE 13 0 0 FALSE 61
"3" 6 65 3 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"4" 2 18 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"5" 25 99 25 TRUE TRUE TRUE TRUE 25 0 0 FALSE 61
"6" 5 32 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"7" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"8" 1 15 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"9" 0 8 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"10" 23 84 23 TRUE TRUE TRUE TRUE 23 0 0 FALSE 61
"11" 176 337 176 TRUE TRUE TRUE TRUE 176 0 0 FALSE 61
"12" 4 25 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"13" 1 9 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"14" 101 229 100 TRUE TRUE TRUE TRUE 101 0 0 FALSE 61
"15" 1 25 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"16" 9 53 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"17" 4 39 3 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"18" 1 26 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"19" 2 35 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"20" 235 387 235 TRUE TRUE TRUE TRUE 235 0 0 FALSE 61
"21" 14 74 14 TRUE TRUE TRUE TRUE 14 0 0 FALSE 61
"22" 434 647 434 TRUE TRUE TRUE TRUE 434 0 0 FALSE 61
"23" 34 128 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"24" 59 161 59 TRUE TRUE TRUE TRUE 59 0 0 FALSE 61
"25" 2 25 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"26" 15 59 15 TRUE TRUE TRUE TRUE 15 0 0 FALSE 61
"27" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"28" 26 86 26 TRUE TRUE TRUE TRUE 26 0 0 FALSE 61
"29" 7 42 7 TRUE TRUE TRUE TRUE 7 0 0 FALSE 61
"30" 26 92 26 TRUE TRUE TRUE TRUE 26 0 0 FALSE 61
"31" 0 16 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"32" 36 105 36 TRUE TRUE TRUE TRUE 36 0 0 FALSE 61
"33" 38 128 38 TRUE TRUE TRUE TRUE 38 0 0 FALSE 61
"34" 15 62 15 TRUE TRUE TRUE TRUE 15 0 0 FALSE 61
"35" 0 6 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"36" 3 29 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"37" 4 33 3 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"38" 23 83 23 TRUE TRUE TRUE TRUE 23 0 0 FALSE 61
"39" 9 67 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"40" 0 14 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"41" 25 88 25 TRUE TRUE TRUE TRUE 25 0 0 FALSE 61
"42" 9 49 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"43" 2 16 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"44" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"45" 4 44 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"46" 0 15 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
